case,distance_mm,original_dice,original_iou,original_false_positive_voxels,original_false_negative_voxels,original_prediction_voxels,filtered_dice,filtered_iou,filtered_false_positive_voxels,filtered_false_negative_voxels,filtered_prediction_voxels,dice_change,iou_change,removed_voxels,largest_component_voxels
dataset8_090,30.0,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.0,0.0,0,247064
dataset8_090,40.0,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.0,0.0,0,247064
dataset8_091,5.0,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.0,0.0,0,302366
dataset8_091,10.0,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.0,0.0,0,302366
dataset8_091,15.0,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.0,0.0,0,302366
dataset8_091,20.0,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.0,0.0,0,302366
dataset8_091,30.0,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.0,0.0,0,302366
dataset8_091,40.0,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.0,0.0,0,302366
dataset8_092,5.0,0.9892413551299469,0.9787117430562542,1487,4650,283631,0.9900293172810547,0.9802555007000733,1033,4650,283177,0.0007879621511077683,0.001543757643819088,454,283171
dataset8_092,10.0,0.9892413551299469,0.9787117430562542,1487,4650,283631,0.9900293172810547,0.9802555007000733,1033,4650,283177,0.0007879621511077683,0.001543757643819088,454,283171
dataset8_092,15.0,0.9892413551299469,0.9787117430562542,1487,4650,283631,0.9900293172810547,0.9802555007000733,1033,4650,283177,0.0007879621511077683,0.001543757643819088,454,283171
dataset8_092,20.0,0.9892413551299469,0.9787117430562542,1487,4650,283631,0.9900293172810547,0.9802555007000733,1033,4650,283177,0.0007879621511077683,0.001543757643819088,454,283171
dataset8_092,30.0,0.9892413551299469,0.9787117430562542,1487,4650,283631,0.9900223694021668,0.9802418780464925,1037,4650,283181,0.0007810142722198821,0.001530134990238352,450,283171
dataset8_092,40.0,0.9892413551299469,0.9787117430562542,1487,4650,283631,0.9900223694021668,0.9802418780464925,1037,4650,283181,0.0007810142722198821,0.001530134990238352,450,283171
